Matchup,WinPercentage
12,0.666666667
21,0.666666667
86,0.5
68,0
910,0.333333333
109,0.5
25,0.666666667
52,1
312,0.333333333
123,0.666666667
1114,1
1411,1
21,0
12,0.5
1714,0.333333333
1417,1
169,0.333333333
916,0.5
812,1
128,0.5
25,0.666666667
52,1
1011,0.333333333
1110,0.666666667
917,1
179,1
82,0.5
28,1
155,0.5
515,0.666666667
141,0
114,1
1016,0.5
1610,1
311,0.666666667
113,0.333333333
1017,0
1710,1
215,0
152,0.5
16,0.5
61,0
1416,0.5
1614,0.666666667
95,0
59,1
1211,1
1112,0.5
89,0.666666667
98,0
12,0.666666667
21,1
610,0.5
106,0.333333333
212,0
122,1
317,0.333333333
173,1
1516,0.5
1615,0
91,0.666666667
19,1
106,0.666666667
610,0.5
314,0.333333333
143,0.666666667
1115,0
1511,1
82,0.666666667
28,0.333333333
176,0.5
617,1
114,0.333333333
141,1
1011,0.333333333
1110,0.333333333
92,0.666666667
29,1
123,0.333333333
312,0.666666667
817,0.666666667
178,0
1014,0
1410,0.333333333
96,0.666666667
69,1
111,0.666666667
111,0.5
23,0.5
32,0.5
816,0.666666667
168,0
1517,0
1715,0.333333333
411,0.666666667
114,0.333333333
132,0.666666667
213,0.333333333
26,1
62,0.5
189,0
918,0.333333333
312,0.666666667
123,1
157,0.333333333
715,0.5
79,0.666666667
97,0
22,0.666666667
22,0
124,0.666666667
412,0.5
1311,0.5
1113,0.666666667
618,0.5
186,1
315,0.333333333
153,0.5
72,0.666666667
27,0
49,0.666666667
94,0.333333333
1318,0
1813,0.666666667
212,0.666666667
122,0.666666667
1115,0.666666667
1511,0.5
36,0.5
63,0.666666667
79,1
97,0.333333333
24,0.5
42,1
132,0
213,0
1218,0.333333333
1812,0.5
311,0
113,0.666666667
156,0.5
615,0.666666667
1912,0.5
1219,0.5
1719,0.666666667
1917,0.5
1522,0
2215,0
1318,0.5
1813,0.5
2016,0
1620,0.5
147,0.666666667
714,0.333333333
42,0.666666667
24,0.666666667
721,0
217,0.666666667
1914,0
1419,0
1513,0.5
1315,0.5
14,0
41,0
2116,0.5
1621,0
207,1
720,1
172,0
217,0
1222,0.5
2212,0.5
718,1
187,1
1416,1
1614,0
1319,0.333333333
1913,0.5
184,1
418,0.666666667
27,0
72,1
1921,0.5
2119,0.5
1215,0
1512,0.666666667
717,0.333333333
177,1
2220,1
2022,0.333333333
1314,0.333333333
1413,0.333333333
1919,0.5
1919,1
1816,0
1618,0.333333333
127,0.666666667
712,0.5
2115,0.5
1521,1
422,0.666666667
224,0.333333333
231,0.5
123,0.5
1412,0
1214,0
2122,0.333333333
2221,0.5
177,1
717,0.333333333
1320,0.666666667
2013,1
184,1
418,0.5
2425,0.666666667
2524,0.333333333
171,0
117,0.5
726,0.333333333
267,0.666666667
1814,0.5
1418,0.666666667
1713,0.666666667
1317,0.666666667
2522,0
2225,0.5
127,0.333333333
712,0.333333333
424,0.666666667
244,0
2321,1
2123,0.5
1326,0.333333333
2613,0.333333333
2214,0
1422,0.666666667
117,0.333333333
171,0.333333333
71,0.5
17,0.666666667
157,0.333333333
715,0.5
425,0.5
254,1
2318,0
1823,1
2412,0.333333333
1224,0.666666667
1314,0
1413,0
422,0
224,0.666666667
2615,1
1526,0
1721,0.5
2117,0.5
237,1
723,0.5
1714,0.666666667
1417,1
131,0
113,0
207,0
720,0
426,0
264,1
2223,0.333333333
2322,0.5
1417,0
1714,0
1312,0.333333333
1213,0.5
157,0.333333333
715,1
104,0.666666667
410,0.333333333
176,0.5
617,0.5
99,0.5
99,0
1314,0.5
1413,0.5
136,0.333333333
613,1
2717,0.666666667
1727,0.5
97,0
79,0.333333333
413,0.666666667
134,0.666666667
1417,1
1714,1
1514,0.5
1415,1
109,0
910,0.666666667
713,0.666666667
137,0
274,0
427,0
69,0.666666667
96,0.333333333
1415,1
1514,0.5
1217,0
1712,0
1013,0.333333333
1310,0.5
1327,0.333333333
2713,0
47,1
74,0.5
1714,0.5
1417,0
913,1
139,0
1015,0.666666667
1510,0.333333333
1214,0.666666667
1412,0.666666667
2813,0.666666667
1328,0.666666667
1712,0.5
1217,0
91,1
19,0.333333333
917,1
179,0.666666667
1418,0.666666667
1814,1
181,0.333333333
118,0.666666667
136,1
613,0
1717,0.5
1717,1
714,0.5
147,0.666666667
912,1
129,0.5
1817,0.666666667
1718,0
713,0
137,0.333333333
289,0.333333333
928,0.666666667
16,0.333333333
61,1
129,0.333333333
912,0.333333333
718,0.666666667
187,0
1713,1
1317,0.666666667
179,0.333333333
917,0
128,0
281,0.5
69,0.5
96,0.5
173,0.333333333
317,0.666666667
2428,1
2824,0.5
1318,1
1813,0.5
49,0
94,0.333333333
139,0.666666667
913,0.5
2114,0
1421,0.666666667
928,0.333333333
289,0
617,0.5
176,0.333333333
97,1
79,1
1412,0.333333333
1214,0
241,0.333333333
124,0
1718,0.666666667
1817,1
1317,0.5
1713,0
69,0.5
96,0.5
289,0
928,0.666666667
1724,0
2417,0.666666667
1221,0.666666667
2112,0.5
41,0.5
14,0
913,0.666666667
139,0
137,0
713,0.666666667
246,1
624,0.666666667
912,0
129,0
2814,0.333333333
1428,0
1721,0.5
2117,1
1313,1
1313,0
247,0.666666667
724,0
2817,0.5
1728,0
69,0.333333333
96,1
179,0.666666667
917,0.333333333
1221,0
2112,0
414,1
144,0.333333333
2825,1
2528,1
2217,0.5
1722,0.666666667
241,0.5
124,1
117,0.333333333
171,0.666666667
1721,0.666666667
2117,0.5
139,0.666666667
913,0.666666667
2425,0.5
2524,1
422,0.5
224,0.666666667
713,0.666666667
137,0
128,0.5
281,0.666666667
126,0.5
612,0.5
2117,0.333333333
1721,0.5
227,0.666666667
722,0.333333333
1325,0.333333333
2513,0.5
1417,0.5
1714,0.5
1324,0.5
2413,0.333333333
211,0.333333333
121,0
257,0.333333333
725,1
617,0.333333333
176,0.333333333
1322,0.666666667
2213,0.666666667
413,0
134,0.5
249,0.333333333
924,1
2821,0.333333333
2128,0
71,0
17,0.666666667
617,0.666666667
176,0.5
1313,1
1313,0.333333333
1222,0.5
2212,0.5
712,0
127,1
628,0.666666667
286,0
918,0.666666667
189,0.5
3019,0.5
1930,0
419,1
194,0.666666667
721,0
217,1
928,0.666666667
289,0.333333333
1812,0.5
1218,0
919,0.5
199,1
214,0.333333333
421,0.333333333
1830,0.666666667
3018,0.5
728,0.5
287,0.5
921,1
219,0.666666667
187,0.5
718,0.5
430,0.5
304,0.666666667